scenario,load_mean_mw,load_max_mw,load_min_mw,load_std_mw,load_peak_ratio,n_timesteps,peak_hour,reactive_burden,gen_mean_mw,gen_max_mw,gen_std_mw,ramp_mean_mw,ramp_max_mw,high_util_pct,imbalance_mean,imbalance_max,voltage_dev_mean,voltage_dev_max,difficulty_score,difficulty_label
0024,257.28,316.8,200.7,22.02,1.2313,8065,19.3,0.7,262.19,322.8,22.46,1.69,10.4,47.1,4.91,11.7,79.5833,141.1,0.4872,medium
0025,256.62,306.2,206.7,22.27,1.1932,8065,19.2,0.7,261.5,313.9,22.72,1.69,8.6,37.14,4.88,12.6,79.5833,141.1,0.3959,medium
0026,256.11,310.7,194.3,21.84,1.2131,8065,19.3,0.7,261.0,316.6,22.25,1.67,7.9,35.7,4.89,11.6,79.5833,141.1,0.3885,medium
0027,256.24,315.9,199.3,22.73,1.2328,8065,19.2,0.7001,261.14,323.2,23.14,1.73,9.1,37.57,4.9,12.7,79.5833,141.1,0.479,medium
0028,257.09,312.1,204.5,21.61,1.214,8065,19.4,0.7,261.98,319.0,22.03,1.71,8.5,47.07,4.89,12.2,79.5833,141.1,0.4205,medium
0029,256.79,308.7,203.5,23.48,1.2022,8065,19.2,0.7001,261.69,312.2,23.94,1.7,9.4,54.66,4.9,13.2,79.5833,141.1,0.5072,medium
0030,257.05,313.3,200.4,22.64,1.2188,8065,19.3,0.7,261.97,319.1,23.07,1.68,8.6,29.36,4.92,11.7,79.5833,141.1,0.4167,medium
0031,254.62,313.5,197.2,22.74,1.2312,8065,19.3,0.7001,259.5,318.7,23.18,1.69,7.8,38.85,4.88,12.5,79.5833,141.1,0.4466,medium
0032,255.65,303.7,199.0,21.69,1.1879,8065,19.2,0.7,260.52,310.3,22.11,1.73,9.0,58.3,4.87,12.1,79.5833,141.1,0.4293,medium
0033,254.39,308.3,196.1,22.62,1.2119,8065,19.4,0.7,259.22,313.1,23.06,1.67,9.1,44.3,4.83,12.3,79.5833,141.1,0.4275,medium
0034,256.59,313.9,195.8,23.3,1.2233,8065,19.2,0.7002,261.56,321.8,23.78,1.69,8.5,46.27,4.96,12.5,79.5833,141.1,0.5286,medium
0035,257.15,312.2,197.4,22.77,1.2141,8065,19.3,0.7,262.07,318.2,23.23,1.74,7.9,44.8,4.93,11.8,79.5833,141.1,0.4321,medium
0036,255.51,305.4,197.4,21.46,1.1953,8065,19.3,0.7,260.37,310.9,21.87,1.65,9.9,52.62,4.87,12.6,79.5833,141.1,0.4401,medium
0037,257.37,313.9,198.7,22.32,1.2197,8065,19.3,0.7,262.27,319.7,22.77,1.75,8.8,44.41,4.91,12.4,79.5833,141.1,0.4429,medium
0038,256.91,323.9,207.1,21.9,1.2607,8065,19.3,0.7,261.85,331.5,22.33,1.73,8.2,40.5,4.94,12.1,79.5833,141.1,0.4544,medium
0039,257.18,310.2,199.4,22.46,1.2061,8065,19.3,0.7,262.05,317.6,22.92,1.73,8.9,54.54,4.87,13.3,79.5833,141.1,0.4461,medium
0040,256.05,312.4,203.1,23.2,1.2201,8065,19.3,0.7,260.95,318.3,23.64,1.72,9.4,42.34,4.91,12.5,79.5833,141.1,0.4667,medium
0041,256.06,306.4,201.1,21.83,1.1966,8065,19.3,0.7001,260.97,312.4,22.26,1.69,7.9,41.19,4.91,11.8,79.5833,141.1,0.4201,medium
0042,255.37,309.0,205.5,21.99,1.21,8065,19.3,0.7,260.24,315.4,22.43,1.66,7.8,45.64,4.87,11.1,79.5833,141.1,0.4002,medium
0043,255.51,302.7,201.6,22.0,1.1847,8065,19.2,0.7,260.41,310.7,22.44,1.73,9.3,55.16,4.9,12.7,79.5833,141.1,0.4402,medium
0044,254.48,307.7,189.6,23.23,1.2091,8065,19.2,0.7001,259.32,313.9,23.67,1.79,8.5,51.31,4.84,12.0,79.5833,141.1,0.4666,medium
0045,255.22,309.8,203.2,21.64,1.2139,8065,19.4,0.7,260.06,314.9,22.08,1.68,9.1,50.89,4.85,14.3,79.5833,141.1,0.431,medium
0046,256.79,315.5,203.2,22.99,1.2286,8065,19.3,0.7,261.69,321.2,23.44,1.7,9.3,50.82,4.91,12.0,79.5833,141.1,0.4838,medium
0047,255.61,308.7,190.1,22.85,1.2077,8065,19.2,0.7001,260.47,313.4,23.29,1.73,10.5,52.4,4.87,13.2,79.5833,141.1,0.5133,medium
0048,256.29,304.7,202.9,21.89,1.1889,8065,19.2,0.7,261.2,309.6,22.34,1.69,9.2,48.03,4.91,14.3,79.5833,141.1,0.4283,medium
0049,256.41,316.1,203.9,23.67,1.2328,8065,19.2,0.7,261.3,323.8,24.16,1.68,8.2,48.98,4.89,12.6,79.5833,141.1,0.4651,medium
0050,256.22,319.1,198.4,23.41,1.2454,8065,19.2,0.7,261.07,325.7,23.87,1.7,9.1,35.42,4.85,13.3,79.5833,141.1,0.4538,medium
0051,257.19,314.4,206.3,21.52,1.2224,8065,19.3,0.7,262.07,320.1,21.95,1.72,9.0,50.51,4.88,12.8,79.5833,141.1,0.4404,medium
0052,256.57,313.5,195.0,22.83,1.2219,8065,19.2,0.7,261.48,320.1,23.25,1.7,9.3,45.29,4.91,11.7,79.5833,141.1,0.4655,medium
0053,256.02,306.3,202.9,22.42,1.1964,8065,19.2,0.7001,260.95,313.7,22.85,1.68,8.6,50.74,4.94,12.1,79.5833,141.1,0.471,medium
0054,254.16,312.6,185.8,23.2,1.2299,8065,19.2,0.7,259.02,317.7,23.64,1.7,8.4,34.05,4.86,11.7,79.5833,141.1,0.4232,medium
0055,254.79,309.7,199.5,22.82,1.2155,8065,19.2,0.7,259.66,318.4,23.29,1.69,8.0,40.27,4.88,12.1,79.5833,141.1,0.4145,medium
0056,255.93,306.5,204.3,22.39,1.1976,8065,19.2,0.7001,260.83,313.4,22.82,1.74,9.1,54.56,4.9,13.8,79.5833,141.1,0.4793,medium
0057,256.63,319.6,200.9,22.35,1.2454,8065,19.4,0.7,261.53,324.3,22.78,1.71,8.9,48.37,4.9,13.3,79.5833,141.1,0.4701,medium
0058,254.67,309.0,201.8,21.46,1.2133,8065,19.2,0.7,259.51,313.1,21.86,1.71,8.7,48.93,4.84,12.7,79.5833,141.1,0.4125,medium
0059,256.89,309.3,198.2,22.99,1.204,8065,19.2,0.7,261.79,316.4,23.45,1.78,8.5,46.83,4.91,12.9,79.5833,141.1,0.4399,medium
0060,257.24,312.9,198.6,22.51,1.2164,8065,19.3,0.7,262.15,319.1,22.94,1.74,8.0,53.45,4.92,12.5,79.5833,141.1,0.4459,medium
0061,256.07,315.1,197.1,22.01,1.2305,8065,19.3,0.7,260.95,322.2,22.43,1.64,9.1,59.23,4.88,11.9,79.5833,141.1,0.4734,medium
0062,256.22,316.0,192.5,22.99,1.2333,8065,19.4,0.7,261.07,322.1,23.4,1.7,9.2,39.31,4.85,11.3,79.5833,141.1,0.4475,medium
0063,256.33,317.9,193.1,22.02,1.2402,8065,19.4,0.7,261.23,324.5,22.42,1.72,10.1,34.99,4.9,11.4,79.5833,141.1,0.4616,medium
0064,254.41,302.0,200.2,22.5,1.187,8065,19.2,0.7,259.28,308.5,22.97,1.72,8.6,51.97,4.87,12.3,79.5833,141.1,0.4207,medium
0065,256.79,310.0,203.4,22.07,1.2072,8065,19.3,0.7001,261.72,316.0,22.47,1.74,8.6,55.51,4.94,13.3,79.5833,141.1,0.4827,medium
0066,255.84,313.6,202.0,22.12,1.2258,8065,19.3,0.7,260.72,321.0,22.55,1.68,9.4,47.61,4.89,12.7,79.5833,141.1,0.4585,medium
0067,256.94,312.3,202.8,22.84,1.2155,8065,19.3,0.7,261.84,318.0,23.29,1.79,9.0,48.52,4.9,12.6,79.5833,141.1,0.4578,medium
0068,256.39,304.8,202.8,22.86,1.1888,8065,19.3,0.7,261.28,310.9,23.31,1.7,8.3,47.87,4.89,12.2,79.5833,141.1,0.4187,medium
0069,257.78,314.7,203.0,23.09,1.2208,8065,19.2,0.7,262.68,321.9,23.56,1.7,8.7,50.44,4.9,13.0,79.5833,141.1,0.463,medium
0070,256.45,313.2,193.1,23.31,1.2213,8065,19.2,0.7001,261.35,318.7,23.8,1.65,8.4,53.45,4.91,12.4,79.5833,141.1,0.4973,medium
0071,256.83,311.1,199.2,23.14,1.2113,8065,19.3,0.7,261.7,317.8,23.57,1.72,8.3,53.35,4.87,12.4,79.5833,141.1,0.4456,medium
0072,257.54,312.6,197.2,23.75,1.2138,8065,19.3,0.7,262.43,320.2,24.23,1.68,8.6,39.55,4.9,13.0,79.5833,141.1,0.4452,medium
0073,255.34,309.4,198.1,22.36,1.2117,8065,19.2,0.7,260.19,316.9,22.79,1.7,9.2,40.82,4.85,12.3,79.5833,141.1,0.4238,medium
0074,257.08,306.7,207.0,22.42,1.193,8065,19.2,0.7001,262.02,313.2,22.83,1.68,9.3,47.04,4.95,12.9,79.5833,141.1,0.4793,medium
0075,256.66,306.3,196.6,22.06,1.1934,8065,19.2,0.7,261.56,312.0,22.5,1.72,8.3,53.55,4.91,13.8,79.5833,141.1,0.4253,medium
0076,255.3,308.1,202.1,22.96,1.2068,8065,19.2,0.7,260.17,316.5,23.43,1.7,10.2,48.08,4.87,12.0,79.5833,141.1,0.4709,medium
0077,256.73,309.0,200.5,21.94,1.2036,8065,19.2,0.7,261.63,315.7,22.4,1.73,11.0,58.02,4.9,12.6,79.5833,141.1,0.4964,medium
0078,256.15,320.3,193.9,21.87,1.2504,8065,19.3,0.7001,261.05,325.7,22.28,1.72,9.9,41.88,4.91,13.2,79.5833,141.1,0.5069,medium
0079,256.97,310.4,198.1,22.92,1.2079,8065,19.4,0.7,261.86,316.4,23.4,1.75,9.7,57.52,4.89,11.9,79.5833,141.1,0.4834,medium
0080,257.29,313.1,200.7,23.03,1.2169,8065,19.2,0.7,262.17,319.8,23.47,1.7,10.0,52.87,4.89,12.3,79.5833,141.1,0.4897,medium
0081,257.03,310.3,201.6,23.18,1.2073,8065,19.2,0.7001,261.94,313.7,23.63,1.71,7.9,46.41,4.91,12.9,79.5833,141.1,0.4601,medium
0082,255.83,307.9,202.8,22.64,1.2035,8065,19.2,0.6999,260.7,315.6,23.1,1.73,8.9,36.55,4.87,11.4,79.5833,141.1,0.384,medium
0083,257.12,307.4,197.0,22.35,1.1955,8065,19.2,0.7,262.03,313.6,22.75,1.74,8.8,54.21,4.91,12.2,79.5833,141.1,0.4439,medium
0084,256.78,311.5,193.8,22.28,1.2131,8065,19.3,0.7,261.67,318.4,22.7,1.68,9.4,33.48,4.9,12.3,79.5833,141.1,0.4269,medium
0085,256.11,304.7,205.2,21.73,1.1897,8065,19.2,0.7,260.98,310.1,22.16,1.71,10.3,47.17,4.88,12.6,79.5833,141.1,0.4411,medium
0086,257.61,313.9,203.8,23.37,1.2185,8065,19.3,0.7001,262.53,319.7,23.8,1.77,9.7,49.45,4.93,13.1,79.5833,141.1,0.5222,medium
0087,256.09,304.7,202.9,21.54,1.1898,8065,19.3,0.7,260.97,312.2,21.94,1.76,8.8,54.28,4.88,12.3,79.5833,141.1,0.4188,medium
0088,256.59,322.2,201.1,21.58,1.2557,8065,19.4,0.7,261.47,329.0,22.01,1.72,8.2,33.86,4.89,11.8,79.5833,141.1,0.4197,medium
0089,256.65,311.4,197.2,22.63,1.2133,8065,19.3,0.7,261.54,318.9,23.09,1.7,8.8,44.69,4.9,12.2,79.5833,141.1,0.441,medium
0090,256.73,305.8,195.0,22.89,1.1912,8065,19.3,0.6999,261.61,311.7,23.35,1.75,8.8,55.28,4.89,11.6,79.5833,141.1,0.4176,medium
0091,256.99,310.9,201.6,21.6,1.2098,8065,19.3,0.7,261.9,314.6,22.01,1.75,9.2,46.89,4.91,13.1,79.5833,141.1,0.4373,medium
0092,256.46,309.6,196.4,22.99,1.2072,8065,19.4,0.7001,261.36,318.3,23.42,1.75,9.8,52.62,4.9,12.0,79.5833,141.1,0.508,medium
0093,255.63,308.1,198.9,22.83,1.2053,8065,19.3,0.7001,260.53,314.4,23.28,1.72,8.5,57.99,4.9,12.8,79.5833,141.1,0.4857,medium
0094,256.79,321.3,203.5,22.95,1.2512,8065,19.3,0.7,261.68,326.1,23.4,1.71,8.8,40.61,4.9,11.9,79.5833,141.1,0.4672,medium
0095,257.04,310.8,203.4,21.68,1.2091,8065,19.2,0.7,261.98,316.9,22.14,1.71,8.7,42.36,4.94,12.0,79.5833,141.1,0.4262,medium
0096,257.13,312.6,185.3,23.04,1.2157,8065,19.2,0.7,262.02,319.7,23.49,1.74,9.0,45.84,4.9,12.8,79.5833,141.1,0.4561,medium
0097,254.98,306.6,198.8,21.17,1.2024,8065,19.3,0.7,259.85,313.2,21.58,1.64,8.2,33.33,4.88,12.4,79.5833,141.1,0.369,medium
0098,255.92,312.7,200.0,22.03,1.2219,8065,19.3,0.7,260.8,318.0,22.45,1.68,8.8,55.05,4.88,11.5,79.5833,141.1,0.4526,medium
0099,255.96,313.8,200.3,22.97,1.226,8065,19.2,0.7,260.83,318.9,23.4,1.65,8.6,49.91,4.86,12.8,79.5833,141.1,0.4514,medium
0100,255.5,312.5,191.9,21.8,1.2231,8065,19.3,0.7,260.37,319.9,22.2,1.73,10.2,42.07,4.88,13.3,79.5833,141.1,0.4556,medium
0101,256.21,307.0,198.5,21.95,1.1982,8065,19.3,0.6999,261.05,314.0,22.39,1.67,9.2,47.53,4.84,13.7,79.5833,141.1,0.3887,medium
0102,256.7,309.2,201.0,22.85,1.2045,8065,19.2,0.7,261.6,314.8,23.32,1.73,7.9,50.7,4.9,11.3,79.5833,141.1,0.4297,medium
0103,257.62,306.7,198.8,23.46,1.1905,8065,19.2,0.7,262.51,313.3,23.91,1.75,9.0,46.47,4.9,14.4,79.5833,141.1,0.4449,medium
0104,256.72,315.7,204.2,21.96,1.2297,8065,19.2,0.7001,261.64,318.7,22.39,1.76,8.6,57.16,4.93,12.7,79.5833,141.1,0.4986,medium
0105,257.79,314.3,197.9,22.38,1.2192,8065,19.3,0.7,262.69,319.6,22.81,1.72,9.0,34.33,4.9,13.6,79.5833,141.1,0.426,medium
0106,256.75,309.9,194.3,23.3,1.207,8065,19.3,0.7,261.62,317.8,23.75,1.69,10.0,40.88,4.87,12.0,79.5833,141.1,0.4583,medium
0107,256.14,312.1,198.3,22.92,1.2185,8065,19.2,0.7,261.03,318.1,23.34,1.72,8.6,33.83,4.9,12.7,79.5833,141.1,0.4244,medium
0108,256.47,304.6,205.4,21.52,1.1877,8065,19.2,0.7,261.37,310.2,21.96,1.72,10.1,58.38,4.91,11.9,79.5833,141.1,0.4611,medium
0109,258.02,310.2,202.1,21.72,1.2022,8065,19.4,0.7,262.96,318.8,22.16,1.74,8.6,45.72,4.94,13.3,79.5833,141.1,0.4259,medium
0110,256.78,308.7,204.5,21.94,1.2022,8065,19.2,0.7,261.67,314.4,22.38,1.68,8.1,47.92,4.9,12.2,79.5833,141.1,0.4123,medium
0111,255.79,310.9,198.2,22.29,1.2155,8065,19.2,0.7,260.66,317.7,22.74,1.69,9.5,39.64,4.88,12.1,79.5833,141.1,0.4377,medium
0112,255.91,310.7,190.6,22.39,1.2141,8065,19.3,0.7,260.79,316.7,22.84,1.71,9.0,47.27,4.88,11.6,79.5833,141.1,0.4419,medium
0113,255.98,318.0,200.2,22.84,1.2423,8065,19.3,0.7,260.9,324.4,23.32,1.73,9.1,40.1,4.91,12.6,79.5833,141.1,0.4668,medium
0114,256.52,320.6,197.1,22.84,1.2498,8065,19.2,0.6999,261.41,327.1,23.31,1.78,9.5,44.74,4.9,11.8,79.5833,141.1,0.4591,medium
0115,257.81,309.0,200.6,22.69,1.1985,8065,19.3,0.7,262.73,315.7,23.15,1.74,8.0,52.14,4.92,12.7,79.5833,141.1,0.4327,medium
0116,257.5,309.6,203.9,22.42,1.2024,8065,19.2,0.7,262.38,317.1,22.84,1.69,8.4,38.88,4.89,12.2,79.5833,141.1,0.4068,medium
0117,257.63,317.4,193.3,23.26,1.232,8065,19.2,0.7,262.5,322.5,23.67,1.72,10.3,40.36,4.88,12.2,79.5833,141.1,0.4849,medium
0118,257.06,311.8,200.6,22.83,1.213,8065,19.4,0.7,261.95,317.6,23.27,1.68,8.0,34.26,4.9,12.9,79.5833,141.1,0.4064,medium
0119,257.13,309.2,199.0,23.2,1.2025,8065,10.3,0.7001,262.06,314.1,23.66,1.7,8.5,50.51,4.93,12.2,79.5833,141.1,0.483,medium
0120,257.39,309.9,198.4,22.36,1.204,8065,19.4,0.7001,262.33,317.3,22.82,1.72,8.5,54.69,4.94,12.8,79.5833,141.1,0.4812,medium
0121,257.0,308.0,201.2,22.87,1.1985,8065,19.3,0.6999,261.87,311.8,23.28,1.75,9.7,54.46,4.87,13.2,79.5833,141.1,0.4358,medium
0122,256.8,313.3,202.4,22.41,1.22,8065,19.3,0.7,261.69,320.9,22.89,1.74,9.1,40.21,4.9,15.0,79.5833,141.1,0.4406,medium
0123,254.54,312.1,201.4,23.4,1.2261,8065,19.2,0.7,259.38,319.0,23.88,1.76,8.6,53.17,4.85,13.0,79.5833,141.1,0.4621,medium
0124,257.13,318.7,198.0,23.11,1.2395,8065,19.3,0.6999,262.02,324.7,23.58,1.7,8.8,48.0,4.9,13.4,79.5833,141.1,0.4465,medium
0125,258.02,308.9,205.4,22.92,1.1972,8065,19.3,0.7,262.95,315.3,23.38,1.7,8.7,47.66,4.93,12.7,79.5833,141.1,0.4448,medium
0126,255.48,306.8,201.6,22.9,1.2009,8065,19.2,0.7001,260.31,314.9,23.34,1.71,8.7,41.25,4.84,12.7,79.5833,141.1,0.4402,medium
0127,257.36,315.8,194.5,23.32,1.2271,8065,19.4,0.7001,262.28,321.5,23.78,1.73,8.9,39.53,4.92,12.5,79.5833,141.1,0.4887,medium
0128,256.43,314.3,198.7,23.54,1.2257,8065,19.2,0.7,261.31,319.8,24.04,1.71,8.9,47.97,4.88,13.0,79.5833,141.1,0.4685,medium
0129,256.64,308.7,195.5,21.36,1.2028,8065,19.3,0.7,261.56,312.6,21.79,1.66,7.9,59.93,4.92,12.2,79.5833,141.1,0.4272,medium
0130,257.23,314.4,204.4,23.38,1.2222,8065,19.2,0.7,262.11,321.0,23.79,1.67,8.5,41.91,4.88,12.0,79.5833,141.1,0.4428,medium
0131,257.26,314.2,205.6,22.85,1.2213,8065,19.2,0.7,262.16,319.7,23.36,1.76,9.0,54.95,4.9,13.4,79.5833,141.1,0.4748,medium
0132,254.86,318.6,194.8,22.95,1.2501,8065,19.2,0.7001,259.77,324.7,23.41,1.71,10.2,47.79,4.9,12.6,79.5833,141.1,0.5394,medium
0133,256.18,309.0,201.7,21.14,1.2062,8065,19.2,0.7,261.08,314.6,21.6,1.73,9.1,57.61,4.9,12.2,79.5833,141.1,0.443,medium
0134,257.64,308.9,198.1,23.0,1.1989,8065,19.3,0.7,262.57,316.5,23.45,1.72,10.2,51.94,4.93,11.4,79.5833,141.1,0.4886,medium
0135,256.26,309.5,196.0,23.2,1.2078,8065,19.3,0.7,261.14,316.0,23.68,1.69,8.3,45.84,4.89,12.1,79.5833,141.1,0.4347,medium
0136,255.85,308.1,199.8,22.37,1.2042,8065,19.2,0.7,260.73,316.5,22.83,1.7,10.1,40.21,4.88,13.1,79.5833,141.1,0.4447,medium
0137,255.75,314.5,193.2,22.04,1.2297,8065,19.2,0.7,260.63,320.9,22.49,1.76,9.9,47.56,4.88,12.4,79.5833,141.1,0.4684,medium
0138,256.34,311.0,207.8,22.56,1.2132,8065,19.3,0.7,261.23,316.9,23.0,1.74,8.4,50.59,4.89,12.7,79.5833,141.1,0.4398,medium
0139,257.46,306.5,200.9,22.35,1.1905,8065,19.5,0.7,262.39,314.4,22.81,1.73,9.0,51.01,4.93,12.4,79.5833,141.1,0.4435,medium
0140,257.09,305.1,196.1,22.96,1.1867,8065,19.3,0.7,262.01,311.2,23.46,1.79,8.9,56.45,4.92,12.4,79.5833,141.1,0.4561,medium
0141,256.02,316.3,202.9,23.21,1.2354,8065,19.3,0.7,260.86,326.5,23.65,1.72,8.9,49.6,4.84,14.8,79.5833,141.1,0.4632,medium
0142,256.46,308.5,200.9,22.22,1.2029,8065,19.3,0.6999,261.35,314.5,22.68,1.72,8.6,52.68,4.9,12.9,79.5833,141.1,0.4089,medium
0143,255.83,305.1,201.1,21.89,1.1926,8065,19.3,0.7,260.67,311.8,22.32,1.66,9.8,48.79,4.85,13.2,79.5833,141.1,0.4302,medium
0144,255.68,311.4,206.9,22.47,1.2179,8065,19.2,0.7,260.58,317.5,22.92,1.66,8.6,41.53,4.91,11.7,79.5833,141.1,0.4341,medium
0145,255.05,312.6,204.8,21.99,1.2257,8065,19.4,0.7,259.96,320.8,22.43,1.77,8.8,46.39,4.91,11.8,79.5833,141.1,0.446,medium
0146,255.99,306.9,200.5,22.29,1.1989,8065,19.2,0.7,260.84,312.2,22.7,1.7,9.0,36.08,4.86,12.8,79.5833,141.1,0.4021,medium
0147,256.7,313.0,203.4,22.92,1.2193,8065,19.2,0.7001,261.63,319.5,23.4,1.71,8.8,52.05,4.93,12.6,79.5833,141.1,0.5008,medium
0148,257.32,314.6,196.7,22.98,1.2226,8065,19.3,0.7,262.24,320.0,23.45,1.75,9.7,61.28,4.92,12.6,79.5833,141.1,0.5106,medium
0149,255.8,322.1,204.4,21.78,1.2592,8065,19.3,0.7,260.7,327.8,22.22,1.71,10.5,31.42,4.9,12.1,79.5833,141.1,0.474,medium
0150,256.87,322.0,203.7,23.15,1.2536,8065,19.4,0.6999,261.73,327.3,23.59,1.76,8.0,40.5,4.87,12.5,79.5833,141.1,0.4181,medium
0151,256.03,321.6,205.1,22.21,1.2561,8065,19.2,0.7001,260.92,328.6,22.66,1.68,10.4,33.43,4.89,12.4,79.5833,141.1,0.5063,medium
0152,256.17,311.5,198.8,23.85,1.216,8065,19.2,0.7,261.05,318.1,24.32,1.7,8.9,41.23,4.88,12.2,79.5833,141.1,0.4532,medium
0153,256.41,316.5,202.5,22.66,1.2344,8065,19.2,0.7,261.32,324.0,23.1,1.7,8.1,38.39,4.92,12.1,79.5833,141.1,0.4353,medium
0154,257.51,308.3,197.0,23.04,1.1972,8065,19.3,0.7001,262.42,314.6,23.47,1.74,10.5,54.27,4.92,12.1,79.5833,141.1,0.5249,medium
0155,256.09,307.1,199.2,22.89,1.1992,8065,19.2,0.7,260.98,312.2,23.37,1.66,7.6,37.46,4.89,11.7,79.5833,141.1,0.3917,medium
0156,256.04,310.3,196.8,22.14,1.2119,8065,19.2,0.7,260.93,315.7,22.59,1.71,8.6,59.81,4.89,11.7,79.5833,141.1,0.4541,medium
0157,256.37,314.6,201.8,22.28,1.2271,8065,19.3,0.7001,261.28,322.1,22.74,1.68,8.8,47.43,4.91,12.4,79.5833,141.1,0.4823,medium
0158,256.06,308.0,201.9,21.29,1.2028,8065,19.4,0.7,260.95,315.0,21.7,1.71,8.0,42.05,4.89,12.1,79.5833,141.1,0.3862,medium
0159,257.74,312.9,184.2,23.7,1.214,8065,19.4,0.6999,262.66,320.2,24.19,1.76,8.0,49.2,4.91,13.8,79.5833,141.1,0.424,medium
0160,256.14,311.6,198.6,22.43,1.2165,8065,19.3,0.7,261.04,317.8,22.87,1.72,7.9,47.86,4.91,12.8,79.5833,141.1,0.4291,medium
0161,256.33,313.7,199.8,22.53,1.2238,8065,19.2,0.6999,261.19,317.5,22.98,1.75,8.1,53.13,4.87,12.5,79.5833,141.1,0.4118,medium
