scenario,difficulty_score,difficulty_label
829,0.4539,medium
894,0.4539,medium
904,0.4541,medium
156,0.4541,medium
809,0.4542,medium
757,0.4542,medium
521,0.4544,medium
38,0.4544,medium
1005,0.4545,medium
822,0.4547,medium
489,0.4548,medium
597,0.455,medium
739,0.4552,medium
550,0.4552,medium
885,0.4553,medium
508,0.4553,medium
990,0.4554,medium
100,0.4556,medium
669,0.4556,medium
333,0.4556,medium
571,0.4557,medium
890,0.4557,medium
676,0.4557,medium
271,0.4559,medium
851,0.4559,medium
982,0.456,medium
755,0.4561,medium
96,0.4561,medium
140,0.4561,medium
747,0.4562,medium
897,0.4563,medium
448,0.4564,medium
286,0.4565,medium
486,0.4567,medium
512,0.4567,medium
263,0.4568,medium
756,0.4569,medium
907,0.4571,medium
570,0.4571,medium
294,0.4571,medium
274,0.4573,medium
803,0.4573,medium
779,0.4575,medium
236,0.4575,medium
896,0.4576,medium
436,0.4577,medium
911,0.4578,medium
798,0.4578,medium
886,0.4578,medium
67,0.4578,medium
840,0.458,medium
631,0.458,medium
799,0.4583,medium
106,0.4583,medium
753,0.4584,medium
66,0.4585,medium
811,0.4589,medium
469,0.4589,medium
17,0.4591,medium
252,0.4591,medium
595,0.4591,medium
114,0.4591,medium
879,0.4592,medium
567,0.4593,medium
395,0.4594,medium
399,0.4595,medium
241,0.4596,medium
883,0.4596,medium
491,0.4596,medium
1,0.4596,medium
908,0.4597,medium
882,0.4597,medium
588,0.4597,medium
473,0.4599,medium
702,0.4599,medium
81,0.4601,medium
947,0.4602,medium
362,0.4602,medium
598,0.4603,medium
815,0.4606,medium
981,0.461,medium
499,0.4611,medium
108,0.4611,medium
619,0.4612,medium
63,0.4616,medium
989,0.4617,medium
363,0.4618,medium
736,0.4619,medium
379,0.462,medium
371,0.462,medium
777,0.4621,medium
123,0.4621,medium
479,0.4622,medium
734,0.4622,medium
630,0.4623,medium
251,0.4628,medium
696,0.4629,medium
689,0.4629,medium
683,0.4629,medium
584,0.463,medium
69,0.463,medium
472,0.4631,medium
141,0.4632,medium
188,0.4632,medium
849,0.4634,medium
483,0.4634,medium
949,0.4634,medium
542,0.4635,medium
423,0.4635,medium
572,0.4635,medium
247,0.4637,medium
558,0.4638,medium
612,0.4639,medium
714,0.464,medium
547,0.4641,medium
654,0.4641,medium
256,0.4642,medium
485,0.4643,medium
528,0.4643,medium
366,0.4644,medium
364,0.4645,medium
733,0.4645,medium
857,0.4645,medium
322,0.4645,medium
488,0.4646,medium
221,0.4647,medium
808,0.4647,medium
748,0.4647,medium
386,0.4648,medium
404,0.4648,medium
768,0.4649,medium
712,0.465,medium
441,0.4651,medium
49,0.4651,medium
498,0.4653,medium
651,0.4654,medium
964,0.4654,medium
656,0.4655,medium
52,0.4655,medium
200,0.4655,medium
791,0.4656,medium
831,0.4658,medium
21,0.4658,medium
461,0.4659,medium
699,0.4659,medium
657,0.466,medium
794,0.4661,medium
348,0.4661,medium
963,0.4664,medium
467,0.4665,medium
264,0.4665,medium
44,0.4666,medium
40,0.4667,medium
113,0.4668,medium
293,0.4668,medium
327,0.4669,medium
515,0.467,medium
425,0.4671,medium
94,0.4672,medium
187,0.4674,medium
826,0.4677,medium
248,0.4677,medium
980,0.4679,medium
611,0.468,medium
994,0.4681,medium
774,0.4682,medium
561,0.4682,medium
509,0.4684,medium
137,0.4684,medium
128,0.4685,medium
860,0.4687,medium
653,0.4688,medium
243,0.4688,medium
694,0.4691,medium
717,0.4692,medium
710,0.4693,medium
827,0.4695,medium
328,0.4698,medium
396,0.4699,medium
692,0.47,medium
962,0.47,medium
57,0.4701,medium
302,0.4703,medium
418,0.4705,medium
511,0.4705,medium
265,0.4706,medium
821,0.4707,medium
965,0.4707,medium
375,0.4708,medium
76,0.4709,medium
670,0.4709,medium
53,0.471,medium
988,0.471,medium
601,0.4712,medium
500,0.4714,medium
398,0.4717,medium
526,0.4722,medium
918,0.4723,medium
792,0.4726,medium
770,0.4726,medium
222,0.4727,medium
812,0.473,medium
687,0.4731,medium
801,0.4732,medium
609,0.4733,medium
764,0.4734,medium
61,0.4734,medium
164,0.4734,medium
940,0.4735,medium
238,0.4738,medium
149,0.474,medium
638,0.4744,medium
955,0.4745,medium
910,0.4745,medium
380,0.4745,medium
131,0.4748,medium
235,0.475,medium
471,0.4752,medium
903,0.4755,medium
444,0.4757,medium
171,0.4757,medium
730,0.4758,medium
993,0.4759,medium
585,0.476,medium
723,0.4763,medium
969,0.4764,medium
269,0.4764,medium
582,0.4767,medium
273,0.4768,medium
819,0.477,medium
789,0.477,medium
725,0.4772,medium
690,0.4772,medium
677,0.4778,medium
568,0.4779,medium
618,0.4781,medium
930,0.4782,medium
837,0.4786,medium
182,0.4786,medium
456,0.4787,medium
454,0.4788,medium
27,0.479,medium
797,0.4791,medium
18,0.4791,medium
6,0.4791,medium
645,0.4792,medium
74,0.4793,medium
56,0.4793,medium
205,0.4794,medium
185,0.4796,medium
275,0.4796,medium
254,0.4798,medium
970,0.4799,medium
623,0.48,medium
693,0.4803,medium
22,0.4803,medium
663,0.4804,medium
369,0.4805,medium
553,0.4805,medium
494,0.4811,medium
575,0.4811,medium
668,0.4811,medium
438,0.4812,medium
120,0.4812,medium
617,0.4813,medium
233,0.4815,medium
536,0.4818,medium
660,0.482,medium
157,0.4823,medium
828,0.4825,medium
215,0.4826,medium
389,0.4827,medium
65,0.4827,medium
189,0.4828,medium
119,0.483,medium
929,0.4833,medium
79,0.4834,medium
502,0.4834,medium
283,0.4836,medium
46,0.4838,medium
178,0.4838,medium
176,0.4841,medium
804,0.4842,medium
305,0.4842,medium
259,0.4842,medium
978,0.4842,medium
223,0.4846,medium
368,0.4846,medium
950,0.4847,medium
420,0.4849,medium
377,0.4849,medium
117,0.4849,medium
658,0.4849,medium
394,0.4856,medium
93,0.4857,medium
563,0.4857,medium
790,0.4859,medium
934,0.4859,medium
460,0.486,medium
620,0.4862,medium
168,0.4862,medium
439,0.4862,medium
504,0.4863,medium
476,0.4863,medium
718,0.4864,medium
878,0.4866,medium
440,0.4867,medium
759,0.4868,medium
376,0.4869,medium
573,0.4871,medium
24,0.4872,medium
337,0.4873,medium
974,0.4874,medium
942,0.4879,medium
688,0.4881,medium
3,0.4881,medium
14,0.4883,medium
850,0.4885,medium
134,0.4886,medium
127,0.4887,medium
466,0.4894,medium
935,0.4895,medium
871,0.4895,medium
80,0.4897,medium
954,0.4902,medium
340,0.4903,medium
946,0.4905,medium
320,0.4905,medium
412,0.491,medium
387,0.4913,medium
875,0.4913,medium
782,0.4917,medium
952,0.4917,medium
552,0.4918,medium
288,0.4921,medium
752,0.4921,medium
450,0.4926,medium
392,0.4934,medium
313,0.4934,medium
824,0.4934,medium
706,0.4936,medium
868,0.4938,medium
858,0.495,medium
365,0.4958,medium
77,0.4964,medium
385,0.4966,medium
289,0.4966,medium
1000,0.4969,medium
852,0.4971,medium
70,0.4973,medium
625,0.4974,medium
306,0.4976,medium
104,0.4986,medium
434,0.4987,medium
285,0.4988,medium
674,0.4995,medium
204,0.4995,medium
276,0.4996,medium
240,0.4999,medium
957,0.4999,medium
446,0.5004,medium
225,0.5007,medium
147,0.5008,medium
525,0.5011,medium
743,0.5012,medium
192,0.5013,medium
727,0.5015,medium
481,0.5016,medium
607,0.5016,medium
737,0.502,medium
324,0.5025,medium
666,0.5026,medium
458,0.5028,medium
272,0.5029,medium
995,0.5037,medium
210,0.5037,medium
922,0.5039,medium
836,0.5045,medium
1010,0.5047,medium
985,0.5047,medium
869,0.5049,medium
551,0.5049,medium
370,0.505,medium
813,0.505,medium
151,0.5063,medium
78,0.5069,medium
29,0.5072,medium
92,0.508,medium
400,0.5085,medium
183,0.5087,medium
184,0.5088,medium
495,0.5092,medium
1002,0.5099,medium
565,0.5105,medium
148,0.5106,medium
428,0.5106,medium
165,0.5107,medium
999,0.5109,medium
767,0.5116,medium
745,0.5118,medium
356,0.5125,medium
47,0.5133,medium
906,0.5142,medium
608,0.5149,medium
300,0.5153,medium
673,0.5164,medium
784,0.517,medium
596,0.5191,medium
360,0.5204,medium
833,0.5205,medium
352,0.5208,medium
746,0.5214,medium
212,0.5216,medium
891,0.5218,medium
711,0.5219,medium
86,0.5222,medium
675,0.5227,medium
984,0.5234,medium
154,0.5249,medium
939,0.525,medium
967,0.5259,medium
958,0.5262,medium
452,0.5264,medium
34,0.5286,medium
914,0.5288,medium
853,0.5291,medium
786,0.5292,medium
680,0.5383,medium
754,0.5388,medium
132,0.5394,medium
667,0.5404,medium
665,0.5597,medium
820,0.5604,medium
